run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000134,20260513,single,0.05,0.9,random,eval_134,13,11,cand_wan_a_c,3,scalar16,1,1.08577,1,0.360349,0.011,1,0,random_scalar16
a_min_000135,20260513,single,0.05,0.9,random,eval_135,13,11,cand_homo_ff,1,scalar16,1,1.21666,1,0.360349,0.0,0,1,random_scalar16
a_min_000136,20260513,single,0.05,0.9,random,eval_136,13,11,cand_homo_ff,1,scalar16,1,1.2163,1,0.360349,0.0,0,1,random_scalar16
a_min_000137,20260513,single,0.05,0.9,random,eval_137,13,11,cand_wan_e_f,3,scalar16,1,1.02046,1,0.360349,0.0165,1,0,random_scalar16
a_min_000138,20260513,single,0.05,0.9,random,eval_138,13,11,cand_lan_b_d,3,scalar16,1,1.01228,1,0.360349,0.0245,1,0,random_scalar16
a_min_000139,20260513,single,0.05,0.9,random,eval_139,13,11,cand_wan_e_f,3,scalar16,1,1.0201,1,0.360349,0.0165,1,0,random_scalar16
a_min_000140,20260513,single,0.05,0.9,random,eval_140,13,11,cand_lan_a_b,3,scalar16,1,0.94337,1,0.360349,0.015,1,0,random_scalar16
a_min_000141,20260513,single,0.05,0.9,random,eval_141,13,11,cand_lan_a_d,3,scalar16,1,0.9758,1,0.360349,0.009,1,0,random_scalar16
a_min_000142,20260513,single,0.05,0.9,random,eval_142,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05118,1,0.360349,0.0155,1,0,random_scalar16
a_min_000143,20260513,single,0.05,0.9,random,eval_143,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.051,1,0.360349,0.0155,1,0,random_scalar16
a_min_000144,20260513,single,0.05,0.9,random,eval_144,13,11,cand_wan_a_c,3,scalar16,1,1.0846,1,0.360349,0.011,1,0,random_scalar16
a_min_000145,20260513,single,0.05,0.9,random,eval_145,13,11,cand_wan_b_d,3,scalar16,1,1.10149,1,0.360349,0.0245,1,0,random_scalar16
a_min_000146,20260513,single,0.05,0.9,random,eval_146,13,11,cand_lan_b_d,3,scalar16,1,1.00913,1,0.360349,0.0245,1,0,random_scalar16
a_min_000147,20260513,single,0.05,0.9,random,eval_147,13,11,cand_wan_a_d,3,scalar16,1,1.06969,1,0.360349,0.009,1,0,random_scalar16
a_min_000148,20260513,single,0.05,0.9,random,eval_148,13,11,cand_wan_a_d,3,scalar16,1,1.06951,1,0.360349,0.009,1,0,random_scalar16
