pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.214201
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.1634
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.247141
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.189124
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.207367
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.01,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.410894
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.02,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.553013
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.479487
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.499992
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.472
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.464744
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.421992
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.435814
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.391922
