variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos4,projcos,tamper,eval_181,checkpoint_specific,99.0,1.5,64,256,768,102309,102309,2132,32,96,103375,103375,206971,207035,1.653458,1.621041,0.219083,0.195542,0.036167,3.506208,3.725291,1,prefill,C2,189
projcos4,projcos,tamper,eval_182,checkpoint_specific,99.0,1.5,64,256,768,109895,109895,2132,32,96,110961,110961,222143,222207,1.637166,1.592459,0.208667,0.186375,0.032,3.448,3.656667,1,prefill,C2,189
projcos4,projcos,tamper,eval_183,checkpoint_specific,99.0,1.5,64,256,768,94722,94722,2132,32,96,95788,95788,191797,191861,1.545417,1.618416,0.207458,0.178125,0.038333,3.380291,3.587749,1,prefill,C2,189
projcos4,projcos,tamper,eval_184,checkpoint_specific,99.0,1.5,64,256,768,94570,94570,2132,32,96,95636,95636,191493,191557,1.566375,1.512583,0.203208,0.171125,0.033167,3.28325,3.486458,1,prefill,C2,189
projcos4,projcos,tamper,eval_185,checkpoint_specific,99.0,1.5,64,256,768,94672,94672,2132,32,96,95738,95738,191697,191761,1.613708,1.558084,0.196333,0.16475,0.032916,3.369458,3.565791,1,prefill,C2,189
projcos4,projcos,tamper,eval_186,checkpoint_specific,99.0,1.5,64,256,768,94661,94661,2132,32,96,95727,95727,191675,191739,2.031542,1.6205,0.236709,0.187083,0.040375,3.8795,4.116209,1,prefill,C2,189
projcos4,projcos,tamper,eval_187,checkpoint_specific,99.0,1.5,64,256,768,125291,125291,2132,32,96,126357,126357,252935,252999,1.6005,1.582,0.209209,0.189916,0.030791,3.403207,3.612416,1,prefill,C2,189
projcos4,projcos,tamper,eval_188,checkpoint_specific,99.0,1.5,64,256,768,125342,125342,2132,32,96,126408,126408,253037,253101,1.803,1.677042,0.243166,0.193083,0.034417,3.707542,3.950708,1,prefill,C2,189
projcos4,projcos,tamper,eval_189,checkpoint_specific,99.0,1.5,64,256,768,125401,125401,2132,32,96,126467,126467,253155,253219,1.727875,1.621791,0.218625,0.19975,0.033709,3.583125,3.80175,1,prefill,C2,189
projcos4,projcos,tamper,eval_190,checkpoint_specific,99.0,1.5,64,256,768,94685,94685,2132,32,96,95751,95751,191723,191787,1.668791,1.6205,0.21025,0.182208,0.034333,3.505832,3.716082,1,prefill,C2,189
