threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1_seed_secret,sign_balanced_sr,0.01,C2,SignRadial,520,0.008965,0.978846,0.009615,0.021154,0.021154,0.914374,0.901768,0.962522,0.988148,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,Combined,520,0.9900995,0.061538,0.009615,0.938462,0.938462,0.239165,0.90625,0.043925,0.085583,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,ProjCos4,520,0.00061048,0.048077,0.015385,0.951923,0.951923,0.239165,0.88,0.032774,0.070008,0.01
TM1_seed_secret,sign_balanced_sr,0.01,C3,SignRadial,520,0.008965,0.036538,0.009615,0.963462,0.963462,0.239165,0.842105,0.023514,0.05636,0.01
TM1_seed_secret,sign_balanced_sr,0.02,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.144559,1.0,0.992667,1.0,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.144559,1.0,0.992667,1.0,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.144559,0.988462,0.992667,1.0,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.133083,0.984615,0.992667,1.0,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.133083,0.975,0.992667,1.0,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C2,SignRadial,520,0.008965,0.996154,0.009615,0.003846,0.003846,1.133083,0.951737,0.986086,0.998945,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C3,Combined,520,0.9900995,0.544231,0.009615,0.455769,0.455769,0.476526,0.975265,0.501256,0.586557,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C3,ProjCos4,520,0.00061048,0.596154,0.015385,0.403846,0.403846,0.476526,0.967742,0.553425,0.637473,0.02
TM1_seed_secret,sign_balanced_sr,0.02,C3,SignRadial,520,0.008965,0.167308,0.009615,0.832692,0.832692,0.476526,0.942529,0.137691,0.201803,0.02
TM1_seed_secret,sign_balanced_sr,0.05,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.470506,1.0,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.470506,1.0,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.470506,0.996154,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.560675,0.984615,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.560675,0.975,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.560675,0.980769,0.992667,1.0,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C3,Combined,520,0.9900995,0.994231,0.009615,0.005769,0.005769,1.159796,0.978723,0.983177,0.998036,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C3,ProjCos4,520,0.00061048,0.996154,0.015385,0.003846,0.003846,1.159796,0.967181,0.986086,0.998945,0.05
TM1_seed_secret,sign_balanced_sr,0.05,C3,SignRadial,520,0.008965,0.475,0.009615,0.525,0.525,1.159796,0.963563,0.432419,0.517947,0.05
TM1_seed_secret,sign_balanced_sr,0.1,C1,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.805254,1.0,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C1,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.805254,1.0,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C1,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.805254,1.0,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C2,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,1.98225,0.984615,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C2,ProjCos4,520,0.00061048,1.0,0.015385,0.0,0.0,1.98225,0.975,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C2,SignRadial,520,0.008965,1.0,0.009615,0.0,0.0,1.98225,0.988462,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C3,Combined,520,0.9900995,1.0,0.009615,0.0,0.0,2.127557,0.978846,0.992667,1.0,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C3,ProjCos4,520,0.00061048,0.998077,0.015385,0.001923,0.001923,2.127557,0.967245,0.989188,0.99966,0.1
TM1_seed_secret,sign_balanced_sr,0.1,C3,SignRadial,520,0.008965,0.709615,0.009615,0.290385,0.290385,2.127557,0.96748,0.669175,0.746981,0.1
TM1_seed_secret,tol_hug_combined,0.002,C1,Combined,520,0.9900995,0.442308,0.009615,0.557692,0.346154,0.079603,0.143478,0.400197,0.485264,0.000122
TM1_seed_secret,tol_hug_combined,0.002,C1,ProjCos4,520,0.00061048,0.415385,0.015385,0.584615,0.371154,0.079603,0.263889,0.373801,0.458209,0.000122
TM1_seed_secret,tol_hug_combined,0.002,C1,SignRadial,520,0.008965,0.334615,0.009615,0.665385,0.451923,0.079603,0.04023,0.295403,0.376253,0.000122
TM1_seed_secret,tol_hug_combined,0.002,C2,Combined,520,0.9900995,0.067308,0.009615,0.932692,0.342308,0.025417,0.142857,0.048791,0.09217,9.4e-05
TM1_seed_secret,tol_hug_combined,0.002,C2,ProjCos4,520,0.00061048,0.078846,0.015385,0.921154,0.332692,0.025417,0.146341,0.058651,0.105219,9.4e-05
TM1_seed_secret,tol_hug_combined,0.002,C2,SignRadial,520,0.008965,0.026923,0.009615,0.973077,0.380769,0.025417,0.357143,0.016104,0.04468,9.4e-05
TM1_seed_secret,tol_hug_combined,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.684615,0.041738,0.6,0.004114,0.022309,0.001762
