prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C3,16384,8,0.02,16,7,8,0.0006062843402392971,0.0390625,0.61328125,0.59375,0.00032980081512042585,0.0007298008151204259,0.02,-5.204170427930421e-18,-8.745320158365189e-19,0.28309914892335575,0.696814611961646,64,256
eval_001,prefill__C3,16384,16,0.02,16,1,8,0.000600830622509261,0.0234375,0.671875,0.609375,0.00032980081512042585,0.0007298008151204259,0.02,0.0,0.0,0.2273508198502191,0.5606416646374051,64,256
eval_001,prefill__C3,16384,32,0.02,16,1,8,0.0004691358479269402,0.07421875,0.92578125,0.921875,0.00032980081512042585,0.0007298008151204259,0.02,0.0,0.0,0.16636691915563306,0.4120488674116757,64,256
eval_001,prefill__C3,16384,64,0.02,16,1,8,0.0004463599814447638,0.03515625,0.984375,0.984375,0.00032980081512042585,0.0007298008151204259,0.02,0.0,0.0,0.12144506457775034,0.3041504753170308,64,256
eval_001,prefill__C3,16384,1,0.02,256,6,8,0.0013269824944864468,0.0234375,0.20703125,0.140625,0.00032980081512042585,0.0007298008151204259,0.02,1.3877787807814457e-17,2.3320853755640507e-18,0.860275628027074,2.0117373378092758,64,256
eval_001,prefill__C3,16384,2,0.02,256,1,8,0.0009929407987027431,0.01953125,0.2734375,0.1875,0.00032980081512042585,0.0007298008151204259,0.02,-3.469446951953614e-18,-5.830213438910127e-19,0.6374515757597088,1.3314197706576987,64,256
eval_001,prefill__C3,16384,4,0.02,256,6,8,0.0008247635664812968,0.02734375,0.3828125,0.296875,0.00032980081512042585,0.0007298008151204259,0.02,1.3877787807814457e-17,2.3320853755640507e-18,0.4667696896292851,1.052486362722444,64,256
eval_001,prefill__C3,16384,8,0.02,256,3,8,0.0006062843402392971,0.0390625,0.58203125,0.53125,0.00032980081512042585,0.0007298008151204259,0.02,3.469446951953614e-18,5.830213438910127e-19,0.3076577402927724,0.6790330762249863,64,256
eval_001,prefill__C3,16384,16,0.02,256,0,8,0.000600830622509261,0.0234375,0.625,0.578125,0.00032980081512042585,0.0007298008151204259,0.02,-1.3877787807814457e-17,-2.3320853755640507e-18,0.24344194165624133,0.5497229074328911,64,256
eval_001,prefill__C3,16384,32,0.02,256,4,8,0.0004691358479269402,0.07421875,0.9375,0.890625,0.00032980081512042585,0.0007298008151204259,0.02,2.42861286636753e-17,4.0811494072370884e-18,0.15839975435007547,0.37466497790484715,64,256
