family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
qgauss8,32,16,1.4,1.6818449418104449,0.20015,20000,20000
qgauss8,32,16,2.0,1.6818449418104449,0.7227,20000,20000
qgauss8,32,16,8.0,1.6818449418104449,1.0,20000,20000
qgauss8,1,256,1.0,6.5467110426022925,0.00945,20000,20000
qgauss8,1,256,1.4,6.5467110426022925,0.0293,20000,20000
qgauss8,1,256,2.0,6.5467110426022925,0.0701,20000,20000
qgauss8,1,256,8.0,6.5467110426022925,0.3684,20000,20000
qgauss8,2,256,1.0,4.6103555777118705,0.0085,20000,20000
qgauss8,2,256,1.4,4.6103555777118705,0.0343,20000,20000
qgauss8,2,256,2.0,4.6103555777118705,0.09655,20000,20000
qgauss8,2,256,8.0,4.6103555777118705,0.56405,20000,20000
qgauss8,4,256,1.0,3.3656126371344333,0.00925,20000,20000
qgauss8,4,256,1.4,3.3656126371344333,0.04465,20000,20000
qgauss8,4,256,2.0,3.3656126371344333,0.1465,20000,20000
qgauss8,4,256,8.0,3.3656126371344333,0.7949,20000,20000
qgauss8,8,256,1.0,2.495154835081178,0.01125,20000,20000
qgauss8,8,256,1.4,2.495154835081178,0.0719,20000,20000
qgauss8,8,256,2.0,2.495154835081178,0.2595,20000,20000
qgauss8,8,256,8.0,2.495154835081178,0.96005,20000,20000
qgauss8,16,256,1.0,2.007480519132214,0.0087,20000,20000
qgauss8,16,256,1.4,2.007480519132214,0.11475,20000,20000
qgauss8,16,256,2.0,2.007480519132214,0.4401,20000,20000
qgauss8,16,256,8.0,2.007480519132214,0.99865,20000,20000
qgauss8,32,256,1.0,1.6818449418104449,0.0084,20000,20000
qgauss8,32,256,1.4,1.6818449418104449,0.1986,20000,20000
qgauss8,32,256,2.0,1.6818449418104449,0.71995,20000,20000
qgauss8,32,256,8.0,1.6818449418104449,1.0,20000,20000
gaussian,1,1,1.0,6.773580632132109,0.0096,20000,20000
gaussian,1,1,1.4,6.773580632132109,0.02695,20000,20000
gaussian,1,1,2.0,6.773580632132109,0.06475,20000,20000
gaussian,1,1,8.0,6.773580632132109,0.35845,20000,20000
gaussian,2,1,1.0,4.6218486370326275,0.009,20000,20000
gaussian,2,1,1.4,4.6218486370326275,0.0363,20000,20000
gaussian,2,1,2.0,4.6218486370326275,0.09605,20000,20000
gaussian,2,1,8.0,4.6218486370326275,0.5644,20000,20000
gaussian,4,1,1.0,3.3632176352059497,0.00945,20000,20000
gaussian,4,1,1.4,3.3632176352059497,0.047,20000,20000
gaussian,4,1,2.0,3.3632176352059497,0.14825,20000,20000
gaussian,4,1,8.0,3.3632176352059497,0.7996,20000,20000
gaussian,8,1,1.0,2.553013384766782,0.0086,20000,20000
gaussian,8,1,1.4,2.553013384766782,0.0666,20000,20000
gaussian,8,1,2.0,2.553013384766782,0.2476,20000,20000
gaussian,8,1,8.0,2.553013384766782,0.9617,20000,20000
gaussian,16,1,1.0,2.0035909873208206,0.00785,20000,20000
gaussian,16,1,1.4,2.0035909873208206,0.1137,20000,20000
gaussian,16,1,2.0,2.0035909873208206,0.4522,20000,20000
gaussian,16,1,8.0,2.0035909873208206,0.9986,20000,20000
gaussian,32,1,1.0,1.6755211405055457,0.00925,20000,20000
gaussian,32,1,1.4,1.6755211405055457,0.19985,20000,20000
gaussian,32,1,2.0,1.6755211405055457,0.7239,20000,20000
gaussian,32,1,8.0,1.6755211405055457,1.0,20000,20000
gaussian,1,16,1.0,6.773580632132109,0.0092,20000,20000
gaussian,1,16,1.4,6.773580632132109,0.02725,20000,20000
gaussian,1,16,2.0,6.773580632132109,0.065,20000,20000
gaussian,1,16,8.0,6.773580632132109,0.35715,20000,20000
gaussian,2,16,1.0,4.6218486370326275,0.0103,20000,20000
gaussian,2,16,1.4,4.6218486370326275,0.03895,20000,20000
gaussian,2,16,2.0,4.6218486370326275,0.1027,20000,20000
gaussian,2,16,8.0,4.6218486370326275,0.56185,20000,20000
gaussian,4,16,1.0,3.3632176352059497,0.00955,20000,20000
gaussian,4,16,1.4,3.3632176352059497,0.0498,20000,20000
gaussian,4,16,2.0,3.3632176352059497,0.1526,20000,20000
gaussian,4,16,8.0,3.3632176352059497,0.79465,20000,20000
gaussian,8,16,1.0,2.553013384766782,0.00835,20000,20000
gaussian,8,16,1.4,2.553013384766782,0.0688,20000,20000
gaussian,8,16,2.0,2.553013384766782,0.25525,20000,20000
gaussian,8,16,8.0,2.553013384766782,0.95975,20000,20000
gaussian,16,16,1.0,2.0035909873208206,0.00975,20000,20000
gaussian,16,16,1.4,2.0035909873208206,0.1164,20000,20000
gaussian,16,16,2.0,2.0035909873208206,0.4505,20000,20000
gaussian,16,16,8.0,2.0035909873208206,0.99875,20000,20000
gaussian,32,16,1.0,1.6755211405055457,0.01145,20000,20000
gaussian,32,16,1.4,1.6755211405055457,0.2066,20000,20000
gaussian,32,16,2.0,1.6755211405055457,0.7299,20000,20000
gaussian,32,16,8.0,1.6755211405055457,1.0,20000,20000
gaussian,1,256,1.0,6.773580632132109,0.01005,20000,20000
gaussian,1,256,1.4,6.773580632132109,0.0294,20000,20000
gaussian,1,256,2.0,6.773580632132109,0.06695,20000,20000
gaussian,1,256,8.0,6.773580632132109,0.3598,20000,20000
gaussian,2,256,1.0,4.6218486370326275,0.00995,20000,20000
gaussian,2,256,1.4,4.6218486370326275,0.03765,20000,20000
gaussian,2,256,2.0,4.6218486370326275,0.0995,20000,20000
gaussian,2,256,8.0,4.6218486370326275,0.56055,20000,20000
gaussian,4,256,1.0,3.3632176352059497,0.00805,20000,20000
gaussian,4,256,1.4,3.3632176352059497,0.0478,20000,20000
gaussian,4,256,2.0,3.3632176352059497,0.15215,20000,20000
gaussian,4,256,8.0,3.3632176352059497,0.8011,20000,20000
gaussian,8,256,1.0,2.553013384766782,0.0088,20000,20000
gaussian,8,256,1.4,2.553013384766782,0.06735,20000,20000
gaussian,8,256,2.0,2.553013384766782,0.2542,20000,20000
gaussian,8,256,8.0,2.553013384766782,0.95955,20000,20000
gaussian,16,256,1.0,2.0035909873208206,0.01185,20000,20000
gaussian,16,256,1.4,2.0035909873208206,0.1185,20000,20000
gaussian,16,256,2.0,2.0035909873208206,0.45355,20000,20000
gaussian,16,256,8.0,2.0035909873208206,0.9986,20000,20000
gaussian,32,256,1.0,1.6755211405055457,0.01075,20000,20000
gaussian,32,256,1.4,1.6755211405055457,0.2064,20000,20000
gaussian,32,256,2.0,1.6755211405055457,0.72665,20000,20000
gaussian,32,256,8.0,1.6755211405055457,1.0,20000,20000
