prompt_id,checkpoint,rho,K,conditional_fpr,exact_detection_power
eval_006,prefill__C1,0.02,16,0.01,0.9999998405799941
eval_006,prefill__C1,0.02,32,0.01,0.9999999999999918
eval_006,prefill__C1,0.02,64,0.01,1.0
eval_006,prefill__C1,0.02,128,0.01,1.0
eval_006,prefill__C1,0.02,256,0.01,1.0
eval_006,prefill__C1,0.02,512,0.01,1.0
eval_006,prefill__C1,0.02,1024,0.01,1.0
eval_006,prefill__C1,0.05,8,0.01,0.9999995292950453
eval_006,prefill__C1,0.05,16,0.01,0.9999999999998674
eval_006,prefill__C1,0.05,32,0.01,1.0
eval_006,prefill__C1,0.05,64,0.01,1.0
eval_006,prefill__C1,0.05,128,0.01,1.0
eval_006,prefill__C1,0.05,256,0.01,1.0
eval_006,prefill__C1,0.05,512,0.01,1.0
eval_006,prefill__C1,0.05,1024,0.01,1.0
eval_006,prefill__C2,0.01,8,0.01,0.9542661076917048
eval_006,prefill__C2,0.01,16,0.01,0.9984604371952598
eval_006,prefill__C2,0.01,32,0.01,0.9999989755092281
eval_006,prefill__C2,0.01,64,0.01,0.9999999999998236
eval_006,prefill__C2,0.01,128,0.01,1.0
eval_006,prefill__C2,0.01,256,0.01,1.0
eval_006,prefill__C2,0.01,512,0.01,1.0
eval_006,prefill__C2,0.01,1024,0.01,1.0
eval_006,prefill__C2,0.02,8,0.01,0.9994301022167233
eval_006,prefill__C2,0.02,16,0.01,0.9999997946985683
eval_006,prefill__C2,0.02,32,0.01,0.9999999999999863
eval_006,prefill__C2,0.02,64,0.01,1.0
eval_006,prefill__C2,0.02,128,0.01,1.0
eval_006,prefill__C2,0.02,256,0.01,1.0
eval_006,prefill__C2,0.02,512,0.01,1.0
eval_006,prefill__C2,0.02,1024,0.01,1.0
eval_006,prefill__C2,0.05,8,0.01,0.9999994598516101
eval_006,prefill__C2,0.05,16,0.01,0.9999999999998254
eval_006,prefill__C2,0.05,32,0.01,1.0
eval_006,prefill__C2,0.05,64,0.01,1.0
eval_006,prefill__C2,0.05,128,0.01,1.0
eval_006,prefill__C2,0.05,256,0.01,1.0
eval_006,prefill__C2,0.05,512,0.01,1.0
eval_006,prefill__C2,0.05,1024,0.01,1.0
eval_006,prefill__C3,0.01,8,0.01,0.049977862926173004
eval_006,prefill__C3,0.01,16,0.01,0.07524803733080658
eval_006,prefill__C3,0.01,32,0.01,0.12585930241769347
eval_006,prefill__C3,0.01,64,0.01,0.23128350706588732
eval_006,prefill__C3,0.01,128,0.01,0.4391952375520437
eval_006,prefill__C3,0.01,256,0.01,0.7483547014724393
eval_006,prefill__C3,0.01,512,0.01,0.9665380304124367
eval_006,prefill__C3,0.01,1024,0.01,0.9997461748496429
eval_006,prefill__C3,0.02,8,0.01,0.3250077513587466
eval_006,prefill__C3,0.02,16,0.01,0.5491120821357671
eval_006,prefill__C3,0.02,32,0.01,0.8251543095525335
eval_006,prefill__C3,0.02,64,0.01,0.9812732140201608
eval_006,prefill__C3,0.02,128,0.01,0.9998920451414683
eval_006,prefill__C3,0.02,256,0.01,0.9999999989403554
eval_006,prefill__C3,0.02,512,0.01,1.0
eval_006,prefill__C3,0.02,1024,0.01,1.0
eval_006,prefill__C3,0.05,8,0.01,0.9664122154954278
eval_006,prefill__C3,0.05,16,0.01,0.9991849839667079
eval_006,prefill__C3,0.05,32,0.01,0.9999997231911195
eval_006,prefill__C3,0.05,64,0.01,0.9999999999999879
eval_006,prefill__C3,0.05,128,0.01,1.0
eval_006,prefill__C3,0.05,256,0.01,1.0
eval_006,prefill__C3,0.05,512,0.01,1.0
eval_006,prefill__C3,0.05,1024,0.01,1.0
eval_007,prefill__C1,0.01,8,0.01,0.9575092691923428
eval_007,prefill__C1,0.01,16,0.01,0.9986771890307408
eval_007,prefill__C1,0.01,32,0.01,0.999999250520783
eval_007,prefill__C1,0.01,64,0.01,0.9999999999999071
eval_007,prefill__C1,0.01,128,0.01,1.0
eval_007,prefill__C1,0.01,256,0.01,1.0
eval_007,prefill__C1,0.01,512,0.01,1.0
eval_007,prefill__C1,0.01,1024,0.01,1.0
eval_007,prefill__C1,0.02,8,0.01,0.9994847490586917
eval_007,prefill__C1,0.02,16,0.01,0.9999998324700754
eval_007,prefill__C1,0.02,32,0.01,0.9999999999999909
eval_007,prefill__C1,0.02,64,0.01,1.0
eval_007,prefill__C1,0.02,128,0.01,1.0
eval_007,prefill__C1,0.02,256,0.01,1.0
eval_007,prefill__C1,0.02,512,0.01,1.0
eval_007,prefill__C1,0.02,1024,0.01,1.0
eval_007,prefill__C1,0.05,8,0.01,0.999999516430029
eval_007,prefill__C1,0.05,16,0.01,0.9999999999998601
eval_007,prefill__C1,0.05,32,0.01,1.0
eval_007,prefill__C1,0.05,64,0.01,1.0
eval_007,prefill__C1,0.05,128,0.01,1.0
eval_007,prefill__C1,0.05,256,0.01,1.0
eval_007,prefill__C1,0.05,512,0.01,1.0
eval_007,prefill__C1,0.05,1024,0.01,1.0
eval_007,prefill__C2,0.01,8,0.01,0.9529216011538797
eval_007,prefill__C2,0.01,16,0.01,0.9983655529770307
eval_007,prefill__C2,0.01,32,0.01,0.9999988411124168
eval_007,prefill__C2,0.01,64,0.01,0.999999999999773
eval_007,prefill__C2,0.01,128,0.01,1.0
eval_007,prefill__C2,0.01,256,0.01,1.0
eval_007,prefill__C2,0.01,512,0.01,1.0
eval_007,prefill__C2,0.01,1024,0.01,1.0
eval_007,prefill__C2,0.02,8,0.01,0.9994068797014554
eval_007,prefill__C2,0.02,16,0.01,0.9999997774724346
eval_007,prefill__C2,0.02,32,0.01,0.9999999999999839
eval_007,prefill__C2,0.02,64,0.01,1.0
eval_007,prefill__C2,0.02,128,0.01,1.0
eval_007,prefill__C2,0.02,256,0.01,1.0
eval_007,prefill__C2,0.02,512,0.01,1.0
eval_007,prefill__C2,0.02,1024,0.01,1.0
eval_007,prefill__C2,0.05,8,0.01,0.9999994355991932
eval_007,prefill__C2,0.05,16,0.01,0.9999999999998094
eval_007,prefill__C2,0.05,32,0.01,1.0
eval_007,prefill__C2,0.05,64,0.01,1.0
eval_007,prefill__C2,0.05,128,0.01,1.0
eval_007,prefill__C2,0.05,256,0.01,1.0
eval_007,prefill__C2,0.05,512,0.01,1.0
eval_007,prefill__C2,0.05,1024,0.01,1.0
eval_007,prefill__C3,0.01,8,0.01,0.07248375867263375
eval_007,prefill__C3,0.01,16,0.01,0.11649576709922137
eval_007,prefill__C3,0.01,32,0.01,0.20607256397184168
