run_id,scheme,network,k,payload_mb,requester_egress_mb,publication_ms,access_package_ms,provider_fetch_ms,all_ready_ms,notes
lan_ppd_100_2_029,PPD,LAN,2,100,100.001172,865.385343,867.395182,853.063966,1720.459148,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_030,PPD,LAN,2,100,100.001172,865.719503,867.837866,855.166714,1723.004579,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_001,PPD,LAN,4,100,100.002328,863.605695,865.771027,853.063966,1718.834993,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_002,PPD,LAN,4,100,100.002328,864.160884,866.221806,853.063966,1719.285772,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_003,PPD,LAN,4,100,100.002328,862.669348,864.689025,853.063966,1717.752991,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_004,PPD,LAN,4,100,100.002328,863.046177,865.15757,853.063966,1718.221536,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_005,PPD,LAN,4,100,100.002328,862.883113,864.90279,853.555943,1718.458733,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_006,PPD,LAN,4,100,100.002328,862.765272,864.784948,854.087533,1718.872482,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_007,PPD,LAN,4,100,100.002328,865.689952,867.804958,853.063966,1720.868924,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_008,PPD,LAN,4,100,100.002328,863.204779,865.224456,853.063966,1718.288422,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_009,PPD,LAN,4,100,100.002328,862.740677,864.774401,853.063966,1717.838367,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_010,PPD,LAN,4,100,100.002328,862.933452,864.953128,853.771836,1718.724964,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_011,PPD,LAN,4,100,100.002328,864.570478,866.590155,853.063966,1719.654121,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_4_012,PPD,LAN,4,100,100.002328,862.894007,864.913684,853.224166,1718.13785,fresh_unique_id;calibrated_delivery_path
