prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,final_relative_residual,delta_residual_cosine,cosine_after_attack
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.10546875,combined,0.1201171875,0.05000000000000001,0.050377424352698034,-1.1181258547379067e-18,0.9987329439257328
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.103515625,spike,0.0966796875,0.04999999915340673,0.05037742349982864,-2.0656092430056577e-09,0.998732947452469
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.103515625,energy,0.0966796875,0.04999999915340673,0.05037742349982864,-2.0656092430056577e-09,0.998732947452469
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.103515625,directional,0.095703125,0.04999999915340673,0.05037742349982864,-2.0656092430056577e-09,0.998732947452469
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.103515625,combined,0.0966796875,0.04999999915340673,0.05037742349982864,-2.0656092430056577e-09,0.998732947452469
eval_001,prefill__C1,16384,256,0.0,honest,0,,spike,0.01220703125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,energy,0.01220703125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,directional,0.01220703125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,combined,0.01220703125,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,spike,0.01220703125,0.010000000000000002,0.01174243945744714,-1.1423160775567557e-18,0.9999423068182992
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,energy,0.01220703125,0.010000000000000002,0.01174243945744714,-1.1423160775567557e-18,0.9999423068182992
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,directional,0.01123046875,0.010000000000000002,0.01174243945744714,-1.1423160775567557e-18,0.9999423068182992
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,combined,0.0146484375,0.010000000000000002,0.01174243945744714,-1.1423160775567557e-18,0.9999423068182992
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,spike,0.01220703125,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,energy,0.01220703125,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,directional,1.0,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,combined,1.0,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.041015625,spike,0.025390625,0.01,0.01174243945744714,5.375605070855322e-20,0.9999422417771597
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.041015625,energy,0.0283203125,0.01,0.01174243945744714,5.375605070855322e-20,0.9999422417771597
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.041015625,directional,0.02685546875,0.01,0.01174243945744714,5.375605070855322e-20,0.9999422417771597
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.041015625,combined,0.03515625,0.01,0.01174243945744714,5.375605070855322e-20,0.9999422417771597
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,spike,0.01220703125,0.009999999284293242,0.011742438850135558,4.1832204849451484e-10,0.9999422253610132
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,energy,0.01220703125,0.009999999284293242,0.011742438850135558,4.1832204849451484e-10,0.9999422253610132
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,directional,0.01123046875,0.009999999284293242,0.011742438850135558,4.1832204849451484e-10,0.9999422253610132
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,combined,0.01416015625,0.009999999284293242,0.011742438850135558,4.1832204849451484e-10,0.9999422253610132
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,spike,0.01220703125,0.020000000000000007,0.02092569913794547,-7.619920187937416e-18,0.9997907569516352
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,energy,0.01220703125,0.020000000000000007,0.02092569913794547,-7.619920187937416e-18,0.9997907569516352
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,directional,0.10888671875,0.020000000000000007,0.02092569913794547,-7.619920187937416e-18,0.9997907569516352
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,combined,0.1142578125,0.020000000000000007,0.02092569913794547,-7.619920187937416e-18,0.9997907569516352
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,spike,0.01220703125,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,energy,0.01220703125,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,directional,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,combined,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.216796875,spike,0.23095703125,0.019999999999999997,0.020925699137945463,-1.3439012677138306e-19,0.9997908348425099
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.216796875,energy,0.23095703125,0.019999999999999997,0.020925699137945463,-1.3439012677138306e-19,0.9997908348425099
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.216796875,directional,0.20849609375,0.019999999999999997,0.020925699137945463,-1.3439012677138306e-19,0.9997908348425099
