prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,directional,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,combined,1.0,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.0234375,spike,0.01220703125,0.01,0.9999421860450475
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.0234375,energy,0.0146484375,0.01,0.9999421860450475
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.0234375,directional,0.021484375,0.01,0.9999421860450475
eval_001,prefill__C1,16384,256,0.01,fixed_sparse16,16,0.0234375,combined,0.02587890625,0.01,0.9999421860450475
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,spike,0.01220703125,0.009999999567121418,0.9999424024993295
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,energy,0.01220703125,0.009999999567121418,0.9999424024993295
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,directional,0.01123046875,0.009999999567121418,0.9999424024993295
eval_001,prefill__C1,16384,256,0.01,adaptive_joint,256,0.01171875,combined,0.01416015625,0.009999999567121418,0.9999424024993295
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,spike,0.01220703125,0.020000000000000007,0.999791176809006
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,energy,0.01220703125,0.020000000000000007,0.999791176809006
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,directional,0.107421875,0.020000000000000007,0.999791176809006
eval_001,prefill__C1,16384,256,0.02,fixed_diffuse,16384,0.1171875,combined,0.11328125,0.020000000000000007,0.999791176809006
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,spike,0.01220703125,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,energy,0.01220703125,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,directional,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,256,0.02,fixed_directional,16371,1.0,combined,1.0,0.020000000000000018,0.9997931136434115
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.23046875,spike,0.244140625,0.02,0.9997913927259168
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.23046875,energy,0.244140625,0.02,0.9997913927259168
eval_001,prefill__C1,16384,256,0.02,fixed_sparse16,16,0.23046875,directional,0.21875,0.02,0.9997913927259168
